ordinal,species,in6,in5,in4,in3,in2,in1,total,year,site,DI,elev,spsiteyear,doy_adult,gdd_adult
210,Aeropedellus clavatus,3,0,0,0,0,0,3,1958,A1,6,2195,A11958Aeropedellus clavatus,NA,NA
143,Aeropedellus clavatus,0,0,0,2,3,2,7,2007,A1,2,2195,A12007Aeropedellus clavatus,183,246.6657137
156,Aeropedellus clavatus,1,0,1,0,1,0,3,2007,A1,4,2195,A12007Aeropedellus clavatus,183,246.6657137
161,Aeropedellus clavatus,1,0,1,2,0,0,4,2007,A1,4,2195,A12007Aeropedellus clavatus,183,246.6657137
189,Aeropedellus clavatus,7,0,0,0,0,0,7,2007,A1,6,2195,A12007Aeropedellus clavatus,183,246.6657137
204,Aeropedellus clavatus,3,0,0,0,0,0,3,2007,A1,6,2195,A12007Aeropedellus clavatus,183,246.6657137
122,Aeropedellus clavatus,0,0,0,0,0,4,4,2008,A1,1,2195,A12008Aeropedellus clavatus,187,170.4818152
129,Aeropedellus clavatus,0,0,0,1,4,6,11,2008,A1,1.545454545,2195,A12008Aeropedellus clavatus,187,170.4818152
139,Aeropedellus clavatus,0,0,0,2,3,0,5,2008,A1,2.4,2195,A12008Aeropedellus clavatus,187,170.4818152
149,Aeropedellus clavatus,0,0,1,5,1,0,7,2008,A1,3,2195,A12008Aeropedellus clavatus,187,170.4818152
157,Aeropedellus clavatus,0,0,5,4,2,0,11,2008,A1,3.272727273,2195,A12008Aeropedellus clavatus,187,170.4818152
163,Aeropedellus clavatus,1,0,2,0,0,0,3,2008,A1,4.666666667,2195,A12008Aeropedellus clavatus,187,170.4818152
168,Aeropedellus clavatus,0,0,2,1,0,0,3,2008,A1,3.666666667,2195,A12008Aeropedellus clavatus,187,170.4818152
175,Aeropedellus clavatus,6,0,1,0,0,0,7,2008,A1,5.714285714,2195,A12008Aeropedellus clavatus,187,170.4818152
183,Aeropedellus clavatus,10,0,0,0,0,0,10,2008,A1,6,2195,A12008Aeropedellus clavatus,187,170.4818152
190,Aeropedellus clavatus,8,0,0,0,0,0,8,2008,A1,6,2195,A12008Aeropedellus clavatus,187,170.4818152
197,Aeropedellus clavatus,3,0,0,0,0,0,3,2008,A1,6,2195,A12008Aeropedellus clavatus,187,170.4818152
139,Aeropedellus clavatus,0,0,0,3,1,1,5,2009,A1,2.4,2195,A12009Aeropedellus clavatus,194,246.3326744
148,Aeropedellus clavatus,0,1,2,0,2,2,7,2009,A1,2.714285714,2195,A12009Aeropedellus clavatus,194,246.3326744
156,Aeropedellus clavatus,0,0,3,1,3,0,7,2009,A1,3,2195,A12009Aeropedellus clavatus,194,246.3326744
163,Aeropedellus clavatus,3,0,6,4,5,0,18,2009,A1,3.555555556,2195,A12009Aeropedellus clavatus,194,246.3326744
174,Aeropedellus clavatus,1,0,4,2,0,0,7,2009,A1,4,2195,A12009Aeropedellus clavatus,194,246.3326744
195,Aeropedellus clavatus,9,0,0,0,0,0,9,2009,A1,6,2195,A12009Aeropedellus clavatus,194,246.3326744
203,Aeropedellus clavatus,3,0,0,0,0,0,3,2009,A1,6,2195,A12009Aeropedellus clavatus,194,246.3326744
212,Aeropedellus clavatus,4,0,0,0,0,0,4,2009,A1,6,2195,A12009Aeropedellus clavatus,194,246.3326744
142,Aeropedellus clavatus,0,0,0,0,2,4,6,2010,A1,1.333333333,2195,A12010Aeropedellus clavatus,187,214.8709947
149,Aeropedellus clavatus,0,0,0,3,7,7,17,2010,A1,1.764705882,2195,A12010Aeropedellus clavatus,187,214.8709947
154,Aeropedellus clavatus,0,0,3,3,4,4,14,2010,A1,2.357142857,2195,A12010Aeropedellus clavatus,187,214.8709947
156,Aeropedellus clavatus,0,0,0,2,3,2,7,2010,A1,2,2195,A12010Aeropedellus clavatus,187,214.8709947
160,Aeropedellus clavatus,0,2,1,4,1,0,8,2010,A1,3.5,2195,A12010Aeropedellus clavatus,187,214.8709947
168,Aeropedellus clavatus,4,3,5,1,0,0,13,2010,A1,4.769230769,2195,A12010Aeropedellus clavatus,187,214.8709947
176,Aeropedellus clavatus,8,1,9,0,0,0,18,2010,A1,4.944444444,2195,A12010Aeropedellus clavatus,187,214.8709947
183,Aeropedellus clavatus,7,0,2,1,0,0,10,2010,A1,5.3,2195,A12010Aeropedellus clavatus,187,214.8709947
190,Aeropedellus clavatus,18,0,0,0,0,0,18,2010,A1,6,2195,A12010Aeropedellus clavatus,187,214.8709947
201,Aeropedellus clavatus,9,0,1,0,0,0,10,2010,A1,5.8,2195,A12010Aeropedellus clavatus,187,214.8709947
209,Aeropedellus clavatus,6,0,0,0,0,0,6,2010,A1,6,2195,A12010Aeropedellus clavatus,187,214.8709947
217,Aeropedellus clavatus,12,0,0,0,0,0,12,2010,A1,6,2195,A12010Aeropedellus clavatus,187,214.8709947
226,Aeropedellus clavatus,8,0,0,0,0,0,8,2010,A1,6,2195,A12010Aeropedellus clavatus,187,214.8709947
140,Aeropedellus clavatus,0,0,0,0,0,4,4,2011,A1,1,2195,A12011Aeropedellus clavatus,175,173.8124648
146,Aeropedellus clavatus,0,0,1,0,3,5,9,2011,A1,1.666666667,2195,A12011Aeropedellus clavatus,175,173.8124648
