ID,Species,Site,Femur_mm,ClutchSize,EggMass,NOvarioles,NFunctOvarioles,PropFunctOvarioles,Elevation_m,logEggs,ClutchMass_g
A1,A. clavatus,A1,11.03,3,0.00543,4,4,1,2195,1.098612289,0.016299999
A2,A. clavatus,A1,11.57,3,0.0044,6,6,1,2195,1.098612289,0.0132
A3,A. clavatus,A1,12.03,2,0.0035,5,5,1,2195,0.693147181,0.007
A5,A. clavatus,A1,12.23,3,0.0045,6,6,1,2195,1.098612289,0.0135
A20,A. clavatus,A1,11.79,3,0.0053,6,6,1,2195,1.098612289,0.0159
A10,A. clavatus,A1,12.26,,,6,5,0.83,2195,,
A8,A. clavatus,A1,11.47,,,4,3,0.75,2195,,
A12,A. clavatus,A1,11.43,4,0.00487,6,4,0.67,2195,1.386294361,0.019484
A13,A. clavatus,A1,11.27,4,0.00534,6,4,0.67,2195,1.386294361,0.02134
A14,A. clavatus,A1,11.69,4,0.00406,6,4,0.67,2195,1.386294361,0.01622
A16,A. clavatus,A1,11.56,3,0.00377,6,4,0.67,2195,1.098612289,0.0113001
A17,A. clavatus,A1,12.53,4,0.00533,6,4,0.67,2195,1.386294361,0.0213
A19,A. clavatus,A1,12.45,3,0.0065,6,4,0.67,2195,1.098612289,0.0195
A21,A. clavatus,A1,11.75,4,0.00533,6,4,0.67,2195,1.386294361,0.0213332
A22,A. clavatus,A1,11.77,,,6,4,0.67,2195,,
A23,A. clavatus,A1,12.43,,,6,4,0.67,2195,,
A24,A. clavatus,A1,12.4,3,0.0047,6,4,0.67,2195,1.098612289,0.0141
A25,A. clavatus,A1,10.65,,,6,4,0.67,2195,,
A9,A. clavatus,A1,11.68,3,0.0047,6,3,0.5,2195,1.098612289,0.0141
A11,A. clavatus,A1,11.55,2,0.00605,6,3,0.5,2195,0.693147181,0.0121
A3 6-13,A. clavatus,A1,11.22,,,,,,2195,,
A1 6-13,A. clavatus,A1,11.95,,,,,,2195,,
A2 6-13,A. clavatus,A1,11.89,4,0.00428,,,,2195,1.386294361,0.01712
A19 6/13,A. clavatus,A1,12.78,4,0.00397,,,,2195,1.386294361,0.0158748
A10x 6-11,A. clavatus,A1,12.09,4,0.00449,,,,2195,1.386294361,0.017946
A4,A. clavatus,A1,11.74,,,,,,2195,,
A6,A. clavatus,A1,11.31,,,,,,2195,,
A7,A. clavatus,A1,11.59,,,,,,2195,,
A15,A. clavatus,A1,11.37,4,0.0046,,,,2195,1.386294361,0.0184
A18,A. clavatus,A1,11.84,4,0.00527,,,,2195,1.386294361,0.0210782
B9,A. clavatus,B1,11.67,,,6,6,1,2591,,
B1,A. clavatus,B1,11.02,3,0.00515,6,4,0.67,2591,1.098612289,0.01545
B2,A. clavatus,B1,11.51,,,6,4,0.67,2591,,
B4,A. clavatus,B1,11.43,,,6,4,0.67,2591,,
B5,A. clavatus,B1,10.85,,,6,4,0.67,2591,,
B8,A. clavatus,B1,11.01,,,6,4,0.67,2591,,
B11,A. clavatus,B1,11.87,4,0.006,6,4,0.67,2591,1.386294361,0.024
B12,A. clavatus,B1,11.58,4,0.0063,6,4,0.67,2591,1.386294361,0.0252
B13,A. clavatus,B1,11.71,4,0.00457,6,4,0.67,2591,1.386294361,0.0182668
B14,A. clavatus,B1,10.99,4,0.00535,6,4,0.67,2591,1.386294361,0.0214
B16,A. clavatus,B1,11.47,4,0.00518,6,4,0.67,2591,1.386294361,0.0207
B20,A. clavatus,B1,10.88,2,0.004,6,4,0.67,2591,0.693147181,0.008
Bu,A. clavatus,B1,,,,6,4,0.67,2591,,
Bv,A. clavatus,B1,,,,6,4,0.67,2591,,
Bw,A. clavatus,B1,,,,6,4,0.67,2591,,
Bx,A. clavatus,B1,,,,6,4,0.67,2591,,
By,A. clavatus,B1,,,,6,4,0.67,2591,,
Bz,A. clavatus,B1,,,,6,4,0.67,2591,,
B15,A. clavatus,B1,11.68,,,6,3,0.5,2591,,
B7,A. clavatus,B1,11.09,4,0.00533,6,2,0.33,2591,1.386294361,0.0213332
B4 6-11,A. clavatus,B1,12.08,2,0.0035,,,,2591,0.693147181,0.007
B14 6-11,A. clavatus,B1,11.34,,,,,,2591,,
