Site,Year,Max,Mean,Min,filled,Seas,SiteYr,SiteSeas,SiteYrSeas,Max.anom,Min.anom,Mean.anom
A1,1953,10.86282609,4.600434783,-1.66423913,0,spring,A1_1953,A1_spring,A1_1953_spring,-0.386105263,-0.841938362,-0.613521036
B1,1953,8.107934783,1.933478261,-4.24326087,0,spring,B1_1953,B1_spring,B1_1953_spring,-0.972121742,-1.516484095,-1.244396086
C1,1953,3.293478261,-1.385869565,-6.065217391,0,spring,C1_1953,C1_spring,C1_1953_spring,-1.220267857,-0.121975932,-0.671129658
D1,1953,-2.891304348,-6.266304348,-9.641304348,0,spring,D1_1953,D1_spring,D1_1953_spring,-0.462146739,-0.119728261,-0.290916149
NOAA,1953,15.65543478,9.116086957,2.57673913,0,spring,NOAA_1953,NOAA_spring,NOAA_1953_spring,-0.267399068,-0.036867236,-0.152057453
A1,1954,12.57608696,5.636521739,-1.305543478,0,spring,A1_1954,A1_spring,A1_1954_spring,1.327155606,-0.48324271,0.42256592
B1,1954,9.588152174,3.15326087,-3.28673913,0,spring,B1_1954,B1_spring,B1_1954_spring,0.508095649,-0.559962356,-0.024613478
C1,1954,4.815217391,-0.385869565,-5.586956522,0,spring,C1_1954,C1_spring,C1_1954_spring,0.301471273,0.356284938,0.328870342
D1,1954,-1.043478261,-4.85326087,-8.663043478,0,spring,D1_1954,D1_spring,D1_1954_spring,1.385679348,0.858532609,1.122127329
NOAA,1954,16.96521739,10.03728261,3.110978261,0,spring,NOAA_1954,NOAA_spring,NOAA_1954_spring,1.04238354,0.497371894,0.769138199
A1,1955,12.29608696,5.494782609,-1.308804348,0,spring,A1_1955,A1_spring,A1_1955_spring,1.047155606,-0.486503579,0.28082679
B1,1955,9.517826087,3.023586957,-3.475543478,0,spring,B1_1955,B1_spring,B1_1955_spring,0.437769562,-0.748766703,-0.154287391
C1,1955,4.010869565,-0.982065217,-5.975,0,spring,C1_1955,C1_spring,C1_1955_spring,-0.502876553,-0.03175854,-0.267325311
D1,1955,-2.186413043,-6.355217391,-10.52423913,0,spring,D1_1955,D1_spring,D1_1955_spring,0.242744565,-1.002663043,-0.379829193
NOAA,1955,16.96630435,10.05902174,3.152065217,0,spring,NOAA_1955,NOAA_spring,NOAA_1955_spring,1.043470497,0.538458851,0.790877329
A1,1956,13.17658647,7.179081734,1.181576998,1,spring,A1_1956,A1_spring,A1_1956_spring,1.92765512,2.003877767,1.965125915
B1,1956,11.07801325,5.11686773,-0.844277786,1,spring,B1_1956,B1_spring,B1_1956_spring,1.997956721,1.882498989,1.938993383
C1,1956,7.149891304,1.096413043,-4.956956522,0,spring,C1_1956,C1_spring,C1_1956_spring,2.636145186,0.986284938,1.81115295
D1,1956,-0.493478261,-4.045217391,-7.596086957,0,spring,D1_1956,D1_spring,D1_1956_spring,1.935679348,1.92548913,1.930170807
NOAA,1956,16.92326087,10.24358696,3.565326087,0,spring,NOAA_1956,NOAA_spring,NOAA_1956_spring,1.000427019,0.95171972,0.975442547
A1,1957,9.853804348,3.965543478,-1.925108696,0,spring,A1_1957,A1_spring,A1_1957_spring,-1.395127003,-1.102807927,-1.248412341
B1,1957,7.849021739,2.195652174,-3.460652174,0,spring,B1_1957,B1_spring,B1_1957_spring,-1.231034786,-0.733875399,-0.982222173
C1,1957,3.434782609,-1.255434783,-5.945652174,0,spring,C1_1957,C1_spring,C1_1957_spring,-1.078963509,-0.002410714,-0.540694876
D1,1957,-2.902173913,-6.429347826,-9.956521739,0,spring,D1_1957,D1_spring,D1_1957_spring,-0.473016304,-0.434945652,-0.453959627
NOAA,1957,13.80576087,7.773913043,1.742065217,0,spring,NOAA_1957,NOAA_spring,NOAA_1957_spring,-2.117072981,-0.871541149,-1.494231366
A1,1958,10.62217391,5.028152174,-0.566413043,0,spring,A1_1958,A1_spring,A1_1958_spring,-0.626757437,0.255887725,-0.185803645
B1,1958,8.490326087,2.706956522,-3.080217391,0,spring,B1_1958,B1_spring,B1_1958_spring,-0.589730438,-0.353440616,-0.470917825
C1,1958,3.891304348,-1.581521739,-7.054347826,0,spring,C1_1958,C1_spring,C1_1958_spring,-0.62244177,-1.111106366,-0.866781832
D1,1958,-2.619565217,-5.989130435,-9.358695652,0,spring,D1_1958,D1_spring,D1_1958_spring,-0.190407609,0.162880435,-0.013742236
NOAA,1958,14.26597826,8.708152174,3.15076087,0,spring,NOAA_1958,NOAA_spring,NOAA_1958_spring,-1.65685559,0.537154503,-0.559992236
A1,1959,10.70717391,4.711847826,-1.28576087,0,spring,A1_1959,A1_spring,A1_1959_spring,-0.541757437,-0.463460101,-0.502107993
B1,1959,8.271630435,2.450869565,-3.373695652,0,spring,B1_1959,B1_spring,B1_1959_spring,-0.80842609,-0.646918877,-0.727004782
C1,1959,3.684782609,-1.070652174,-5.826086957,0,spring,C1_1959,C1_spring,C1_1959_spring,-0.828963509,0.117154503,-0.355912267
D1,1959,-3.305869565,-6.800869565,-10.29554348,0,spring,D1_1959,D1_spring,D1_1959_spring,-0.876711957,-0.773967391,-0.825481366
NOAA,1959,15.03869565,8.709456522,2.379782609,0,spring,NOAA_1959,NOAA_spring,NOAA_1959_spring,-0.884138199,-0.233823758,-0.558687888
A1,1960,11.64945652,5.55326087,-0.545326087,0,spring,A1_1960,A1_spring,A1_1960_spring,0.400525171,0.276974682,0.339305051
B1,1960,9.476413043,3.508695652,-2.46326087,0,spring,B1_1960,B1_spring,B1_1960_spring,0.396356519,0.263515905,0.330821305
C1,1960,5.663043478,0.483695652,-4.695652174,0,spring,C1_1960,C1_spring,C1_1960_spring,1.14929736,1.247589286,1.198435559
D1,1960,-2.02173913,-5.663043478,-9.304347826,0,spring,D1_1960,D1_spring,D1_1960_spring,0.407418478,0.217228261,0.31234472
NOAA,1960,16.37086957,9.823152174,3.275869565,0,spring,NOAA_1960,NOAA_spring,NOAA_1960_spring,0.448035714,0.662263199,0.555007764
A1,1961,9.920217391,4.253695652,-1.41423913,0,spring,A1_1961,A1_spring,A1_1961_spring,-1.328713959,-0.591938362,-0.960260167
B1,1961,7.783804348,2.385978261,-3.015,0,spring,B1_1961,B1_spring,B1_1961_spring,-1.296252177,-0.288223225,-0.791896086
C1,1961,4.663043478,-0.184782609,-5.032608696,0,spring,C1_1961,C1_spring,C1_1961_spring,0.14929736,0.910632764,0.529957298
D1,1961,-2.239130435,-5.72826087,-9.217391304,0,spring,D1_1961,D1_spring,D1_1961_spring,0.190027174,0.304184783,0.247127329
NOAA,1961,15.31804348,9.177826087,3.038043478,0,spring,NOAA_1961,NOAA_spring,NOAA_1961_spring,-0.604790373,0.424437112,-0.090318323
A1,1962,12.38304348,6.268586957,0.150978261,0,spring,A1_1962,A1_spring,A1_1962_spring,1.134112128,0.973279029,1.054631138
B1,1962,9.522934783,3.631630435,-2.265,0,spring,B1_1962,B1_spring,B1_1962_spring,0.442878258,0.461776775,0.453756088
C1,1962,5.380434783,0.108695652,-5.163043478,0,spring,C1_1962,C1_spring,C1_1962_spring,0.866688665,0.780197981,0.823435559
D1,1962,-1.923913043,-5.592391304,-9.260869565,0,spring,D1_1962,D1_spring,D1_1962_spring,0.505244565,0.260706522,0.382996894
NOAA,1962,16.41815217,9.800217391,3.182173913,0,spring,NOAA_1962,NOAA_spring,NOAA_1962_spring,0.495318323,0.568567547,0.532072981
A1,1963,13.54836957,6.79173913,0.031413043,0,spring,A1_1963,A1_spring,A1_1963_spring,2.299438215,0.853713812,1.577783312
B1,1963,11.32728261,4.860108696,-1.612826087,0,spring,B1_1963,B1_spring,B1_1963_spring,2.247226084,1.113950688,1.682234349
C1,1963,6.260869565,0.64673913,-4.967391304,0,spring,C1_1963,C1_spring,C1_1963_spring,1.747123447,0.975850155,1.361479037
D1,1963,-0.913913043,-4.535869565,-8.157826087,0,spring,D1_1963,D1_spring,D1_1963_spring,1.515244565,1.36375,1.439518634
NOAA,1963,17.73847826,10.77163043,3.804565217,0,spring,NOAA_1963,NOAA_spring,NOAA_1963_spring,1.81564441,1.190958851,1.503486025
